id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label
105411,0.423327,tcp,-,FIN,8,8,364,418,35.433601,254,252,6028.436523,6916.63916,1,2,60.475286,53.01643,3379.828588,82.779625,255,340790917,1325288804,255,0.095491,0.051523,0.043968,46,52,0,0,1,1,3,1,1,1,0,0,0,1,7,0,Backdoor,1
19989,0.834901,tcp,ftp,FIN,52,54,2934,3742,125.763418,31,29,27576.92383,35194.59375,11,15,16.363766,15.743095,1417.288454,52.875289,255,3473773178,3474772679,255,0.000625,0.000513,0.000112,56,69,0,0,1,0,2,1,1,5,1,1,0,5,1,0,Normal,0
6416,0.057924,tcp,-,FIN,68,70,4014,59460,2365.168205,31,29,546233.0,8094883.0,7,28,0.859746,0.830551,56.02892,55.104265,255,320794961,333097736,255,0.000773,0.000613,0.00016,59,849,0,0,11,0,4,1,1,2,0,0,0,2,4,0,Normal,0
73744,4e-06,udp,-,INT,2,0,202,0,250000.0006,254,0,202000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,101,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0,Shellcode,1
20748,0.001152,udp,dns,CON,2,2,146,178,2604.166575,31,29,506944.4375,618055.5625,0,0,0.008,0.007,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,2,0,1,1,1,1,0,0,0,5,2,0,Normal,0
123690,3e-06,unas,-,INT,2,0,200,0,333333.3215,254,0,266666656.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,6,2,3,3,3,6,0,0,0,8,6,0,Backdoor,1
62402,0.281953,tcp,-,FIN,10,10,462,530,67.387116,254,252,11803.38574,13534.16992,2,3,31.328111,28.761,1671.284083,41.407758,255,851771670,3917773581,255,0.047329,0.007082,0.040247,46,53,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Backdoor,1
28826,0.024588,tcp,-,FIN,60,62,3614,50036,4921.099718,31,29,1156336.375,16017244.0,7,24,0.411373,0.392984,22.074328,21.168485,255,332791818,2482688635,255,0.000736,0.000608,0.000128,60,807,0,0,8,0,2,1,1,3,0,0,0,2,3,0,Normal,0
39859,1.206056,tcp,http,FIN,14,18,1684,10168,25.703616,31,29,10374.31055,63705.16797,3,5,92.748154,70.890118,9465.827919,8286.12752,255,3125439376,981017135,255,0.001063,0.000922,0.000141,120,565,1,3924,1,0,1,1,1,1,0,0,1,2,1,0,Normal,0
96026,9e-06,pipe,-,INT,2,0,200,0,111111.1072,254,0,88888888.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,14,2,5,4,4,17,0,0,0,6,14,0,Analysis,1
83552,0.577538,tcp,http,FIN,10,8,828,1096,29.435292,62,252,10333.51856,13283.97363,2,2,64.170889,71.003289,3376.912753,100.794766,255,1423849092,2669723316,255,0.125171,0.079842,0.045329,83,137,1,125,6,1,3,3,3,8,0,0,9,3,6,0,Analysis,1
75747,3e-06,udp,-,INT,2,0,104,0,333333.3215,254,0,138666656.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,52,0,0,0,2,2,2,2,2,2,0,0,0,2,2,0,Normal,0
44632,0.656125,tcp,-,FIN,12,8,1004,772,28.957896,254,252,11229.56738,8242.332031,3,2,55.723273,79.185141,2798.297842,103.218828,255,2684406252,1378769321,255,0.168137,0.101826,0.066311,84,97,0,0,3,1,1,1,1,4,0,0,0,1,3,0,Normal,0
99561,57.977638,ospf,-,INT,72,0,19584,0,1.22461,254,0,2664.751465,0.0,0,0,816.5865,0.0,1094.07825,0.0,0,0,0,0,0.0,0.0,0.0,272,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0,Backdoor,1
12025,1.160798,tcp,http,FIN,14,18,1684,10168,26.705767,31,29,10778.79199,66188.95313,3,5,96.704248,68.255176,9193.023639,7736.275389,255,3737291982,1618616047,255,0.000567,0.000456,0.000111,120,565,1,3924,4,0,3,2,2,3,0,0,4,4,3,0,Normal,0
50215,1.543292,tcp,smtp,FIN,18,18,2272,1226,22.678792,254,252,11124.27148,6002.752441,6,7,90.781882,85.389469,4655.530841,108.261719,255,165345799,4205870067,255,0.09346,0.067838,0.025622,126,68,0,0,1,1,1,1,1,1,0,0,0,2,1,0,Analysis,1
